
10.	Module M10	Enterprise Data Dictionary
a.	Summary

The Enterprise Data Dictionary (EDD) for the PARI system serves as the single, immutable source of truth for all semantic, structural, and regulatory definitions governing the platform’s data assets. In a complex ecosystem where financial privacy must coexist with absolute fiscal accountability, the EDD is not merely a static documentation repository but a dynamic, governable, and active database component. It functions as the "Brain" of the PARI architecture, ensuring that every byte of data—whether it is a blinded coin transaction, a merchant tax record, or an audit log—is semantically defined, lineage-tracked, and mapped to specific regulatory frameworks (GDPR, ISO 20022, national VAT laws). By rigorously cataloging the 63 core operational tables, the EDD bridges the gap between technical database schemas and business logic, enabling disparate stakeholders, from DBAs to Tax Auditors, to interpret data consistently without ambiguity.

Operating under CMMI Level 5 principles, the EDD transforms data governance from a manual, ad-hoc process into a quantitatively managed engineering discipline. It enforces strict data standardization policies, ensuring that "Citizen ID" in one module is not misinterpreted as "Payer Identity" in another, a critical distinction for maintaining payer anonymity. The dictionary actively manages the lifecycle of data objects, enforcing the "Privacy-by-Design" mandate by tagging Personally Identifiable Information (PII) and associating it with automated retention and deletion policies (e.g., cryptographic erasure after 7 years). Furthermore, it serves as the integration backbone for the Regulatory Policy Engine (Module M02), providing the metadata necessary to dynamically generate ISO 20022 compliant messages and enforce cross-jurisdictional tax reporting rules without requiring code changes.

The EDD also underpins the platform’s robust auditability and corruption resistance. By maintaining a comprehensive change history of every schema modification, business definition update, and ownership transfer, it creates an immutable chain of custody for the data structure itself. This allows independent auditors to reconstruct the exact state of the system at any point in the past, a requirement for forensic analysis in financial disputes. Additionally, the EDD facilitates advanced AI-driven operations by providing a structured ontology that machine learning models can leverage for anomaly detection, semantic querying, and automated impact analysis. When a new regulation is introduced—such as a change in the EU VAT directive—the EDD allows system architects to instantly visualize which tables, columns, and business processes are affected, drastically reducing the risk of non-compliance. Ultimately, the Enterprise Data Dictionary ensures that PARI’s data infrastructure is as resilient, scalable, and trustworthy as the cryptographic protocols that secure its transactions.
b.	Scope
The scope of Module M10 encompasses the centralized management, definition, and governance of all metadata within the PARI ecosystem. This includes the structural definition of all 63+ production database tables, columns, data types, and constraints across the Wallet, Exchange, Merchant, and Audit subsystems. It covers the semantic mapping of these technical artifacts to business glossaries, regulatory codes (ISO 20022, SWIFT, national tax codes), and internal KPI frameworks. The module is responsible for maintaining the lineage of data elements, tracking their journey from ingestion (via M13) through transformation (Analytics) to archival (M11). It defines and enforces data ownership, stewardship, and access control policies at a granular attribute level. Additionally, the EDD scope includes the management of database change history, versioning of DDL scripts, and the synchronization of metadata between the development environments and the production Kubernetes clusters.

c.	Business Case
In the absence of a unified Enterprise Data Dictionary, large-scale financial platforms suffer from "semantic fragmentation," where different departments define critical terms like "Revenue," "Transaction Date," or "User ID" inconsistently. In PARI, where payer anonymity is paramount, such ambiguity could lead to catastrophic privacy leaks or regulatory fines. For instance, misclassifying a "blinded payer hash" as "Personal Data" could trigger unnecessary GDPR deletion requests, destroying audit trails, while failing to classify a "Merchant Legal Name" correctly could lead to tax evasion. The EDD eliminates this risk by enforcing a standardized vocabulary. It significantly accelerates the integration of new regulatory modules (M02), allowing the PARI system to expand into new jurisdictions with zero friction. From a CMMI Level 5 perspective, the EDD reduces the defect density in database deployments by ensuring that schema changes are validated against a central gold standard before execution. It automates the generation of regulatory reports, saving hundreds of man-hours annually in manual reconciliation and audit preparation. By providing clear data ownership and lineage, it simplifies root cause analysis during production incidents, reducing Mean Time To Recover (MTTR).
d.	KPIs
     Metadata Completeness: 100% (All 63 tables and columns fully defined with business descriptions).
     Lineage Traceability Score: >98% (Ability to trace data from source to destination across 4+ hops).
     Schema-to-Definition Sync Latency: < 5 minutes (Time for a code change to reflect in the Dictionary).
     Automated Compliance Rule Coverage: 100% (All columns tagged with relevant GDPR/Tax attributes).
     Impact Analysis Accuracy: >99% (Precision in identifying affected objects during schema changes).
     Data Stewardship Assignment Rate: 100% (Every critical data element has an assigned owner).



e.	Stakeholder Insights
Stakeholder	Concern	Implications
Data Governance Officers (DGOs)	Semantic Ambiguity & Compliance Risk	Without a unified dictionary, DGOs cannot guarantee that "Anonymized ID" is treated differently from "Legal Name," leading to potential GDPR violations and heavy fines.
Database Administrators (DBAs)	Uncontrolled Schema Drift	Lack of central control leads to ad-hoc schema changes causing downtime and data integrity issues during deployments.
Regulatory Auditors	Data Provenance & Accountability	Auditors require an immutable record of who defined what data and when. Missing metadata makes the system unauditable.
Business Analysts	Self-Service Reporting Inaccuracy	Analysts relying on guesswork to build KPIs (e.g., VAT collected) will produce incorrect financial reports, misleading executives.
Software Developers	Integration Complexity	Developers need clear API contracts and data type definitions to integrate modules M01-M09 correctly. Ambiguity slows down development velocity.
CISO / Security Team	Data Leakage & Classification	Security policies (RBAC/ABAC) depend on accurate data classification (e.g., Public vs. Confidential). Poor metadata leads to over-exposure of sensitive data.


f.	Knowledge Representation Graph (mermaid.js)
graph TD
    subgraph "PARI System Context"
        M01[M01: Crypto Core]
        M02[M02: Regulatory Engine]
        M13[M13: Ingestion Pipeline]
        M22[M22: Tax Reporting]
    end

    subgraph "M10: Enterprise Data Dictionary Core"
        DD[(Central Metadata Repository)]
        DEF[Business Glossary]
        TECH[Technical Schema Registry]
        ISO[ISO 20022 / Tax Mapping]
        LINEAGE[Data Lineage Graph]
        VERSION[Change History / Versioning]
        OWNER[Data Stewardship]
    end

    subgraph "Outputs & Governance"
        AUDIT[Audit Reports]
        API[Metadata API]
        DOCS[Living Documentation]
    end

    %% Relationships
    M01 -->|Ingests Schema| TECH
    M13 -->|Populates| LINEAGE
    DD -->|Defines| TECH
    DD -->|Standardizes| DEF
    TECH -->|Maps to| ISO
    DEF -->|Managed by| OWNER
    TECH -->|Versioned in| VERSION
    LINEAGE -->|Traced via| TECH

    %% Value Flow
    ISO -->|Enables| M22
    TECH -->|Validates| M02
    DD -->|Exposes| API
    VERSION -->|Generates| AUDIT
    DEF -->|Publishes| DOCS

    style DD fill:#f9f,stroke:#333,stroke-width:4px
    style ISO fill:#bbf,stroke:#333,stroke-width:2px


g.	Comprehensive List of Features

id	Feature	Description	Business Case	AI/ML Algorithms	KPIs	Primary Users
F-203	Feedback Loop on Definitions	Allowing users to flag "confusing" or "wrong" definitions.	Continuous improvement of metadata quality.	Sentiment Analysis	Feedback Volume	All Users
F-204	Integration with CMDB	Linking data assets to IT Configuration Management DB.	Full stack traceability (Hardware -> Data).	UUID Mapping	Asset Linkage %	IT Ops
F-205	Smart Relationship Suggestions	Suggesting potential Foreign Keys based on data distribution.	Finds hidden relationships missed by humans.	Correlation Analysis	Suggestion Precision	Data Modelers
F-206	Data Sharding Metadata	Defining how data is sharded across clusters.	Essential for horizontal scaling.	Consistent Hashing	Shard Balance	Architects
F-207	Compliance Certificate Mapping	Linking data assets to specific compliance certificates (SOC2, ISO27001).	Simplifies audit evidence collection.	None	Certification Coverage	Auditors
F-208	Blockchain Anchor Hash	Storing the hash of the data structure in the blockchain.	Provides immutable proof of data structure history.	SHA-256	Anchor Success	Blockchain Team
F-209	Zero Knowledge Proof Metadata	Describing which fields are used in ZK-circuits (M01).	Ensures privacy engineering is documented.	None	Privacy Engineering	Cryptographers
F-210	Data Access Frequency Scoring	Scoring fields based on how often they are accessed.	Optimizes indexing and caching strategies.	Frequency Analysis	Score Accuracy	Performance Engineers


h.	Comprehensive List of Database Objects

id	schema_name	object_name	object_type	description	feature_reference	column_names	constraints / notes	junction_tables
T-01	pari_dd	dd_entity_registry	TABLE	Master list of all tables/entities in the PARI system.	F-101	entity_id (PK, UUID), physical_name (VARCHAR(63)), schema_name (VARCHAR(63)), description (TEXT), business_owner (VARCHAR(100)), technical_owner (VARCHAR(100)), created_at (TIMESTAMPTZ), is_active (BOOLEAN)	UNIQUE(physical_name, schema_name); CHECK (is_active IN (TRUE, FALSE))	N/A
T-02	pari_dd	dd_attribute_registry	TABLE	Master list of all columns/attributes belonging to entities.	F-102	attribute_id (PK, UUID), entity_id (FK), physical_name (VARCHAR(63)), logical_name (VARCHAR(100)), data_type (VARCHAR(50)), length (INTEGER), nullable (BOOLEAN), default_value (TEXT), ordinal_position (INTEGER), is_pii (BOOLEAN)	FK(entity_id) REFERENCES dd_entity_registry; CHECK (ordinal_position > 0)	N/A
T-03	pari_dd	dd_glossary_terms	TABLE	Business glossary definitions.	F-103	term_id (PK, UUID), term_name (VARCHAR(255), UNIQUE), definition (TEXT), acronym (VARCHAR(20)), source (VARCHAR(100)), status (VARCHAR(20))	CHECK (status IN ('Draft','Approved','Deprecated'))	dd_entity_glossary_map
T-04	pari_dd	dd_entity_glossary_map	TABLE	Maps entities/attributes to glossary terms.	F-103	entity_id (FK), attribute_id (FK, NULLABLE), term_id (FK), context (TEXT)	Composite PK on (entity_id, attribute_id, term_id); FKs to parent tables	N/A
T-05	pari_dd	dd_iso_20022_mapping	TABLE	Maps local fields to ISO 20022 message paths.	F-104	mapping_id (PK, UUID), attribute_id (FK), iso_message_type (VARCHAR(20)), iso_xpath (VARCHAR(500)), mapping_rule (TEXT)	FK(attribute_id) REFERENCES dd_attribute_registry; CHECK (iso_message_type LIKE 'pacs.%' OR iso_message_type LIKE 'pain.%')	N/A
T-06	pari_dd	dd_regulatory_tags	TABLE	Stores tags like GDPR-PII, PCI-DSS, National-Tax.	F-105, F-116	tag_id (PK, UUID), tag_name (VARCHAR(50), UNIQUE), jurisdiction (VARCHAR(10)), description (TEXT), enforcement_action (VARCHAR(50))	CHECK (jurisdiction IN ('EU','US','CH','GLOBAL'))	dd_attribute_tags_map
T-07	pari_dd	dd_attribute_tags_map	TABLE	Applies regulatory tags to specific attributes.	F-105, F-116	attribute_id (FK), tag_id (FK), applied_by (VARCHAR(100)), applied_at (TIMESTAMPTZ)	Composite PK on (attribute_id, tag_id)	N/A
T-08	pari_dd	dd_data_owners	TABLE	Explicit ownership registry.	F-106	owner_id (PK, UUID), entity_id (FK), owner_role (VARCHAR(100)), department (VARCHAR(100)), contact_email (VARCHAR(255))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-09	pari_dd	dd_lineage_edges	TABLE	Graph edges for data lineage (Source -> Target).	F-107, F-108	edge_id (PK, BIGSERIAL), source_object_id (UUID), target_object_id (UUID), edge_type (VARCHAR(20)), transform_logic (TEXT)	CHECK (edge_type IN ('DIRECT','DERIVED','LOOKUP'))	N/A
T-10	pari_dd	dd_change_history	TABLE	Audit log for all metadata changes.	F-110	change_id (PK, BIGSERIAL), object_type (VARCHAR(50)), object_id (UUID), operation (VARCHAR(10)), old_value (JSONB), new_value (JSONB), changed_by (VARCHAR(100)), changed_at (TIMESTAMPTZ)	CHECK (operation IN ('INSERT','UPDATE','DELETE'))	N/A
T-11	pari_dd	dd_quality_rules	TABLE	Central repository for data quality rules.	F-113	rule_id (PK, UUID), attribute_id (FK), rule_type (VARCHAR(20)), rule_definition (TEXT), severity (VARCHAR(10))	FK(attribute_id) REFERENCES dd_attribute_registry; CHECK (severity IN ('ERROR','WARNING','INFO'))	N/A
T-12	pari_dd	dd_kpi_bindings	TABLE	Maps KPIs to data attributes.	F-117	binding_id (PK, UUID), kpi_code (VARCHAR(50)), attribute_id (FK), aggregation_func (VARCHAR(20))	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-13	pari_dd	dd_indexes	TABLE	Metadata for database indexes.	F-118	index_id (PK, UUID), entity_id (FK), index_name (VARCHAR(63)), index_type (VARCHAR(20)), is_unique (BOOLEAN), column_list (TEXT[])	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-14	pari_dd	dd_partitions	TABLE	Partitioning strategy definitions.	F-119	partition_id (PK, UUID), entity_id (FK), partition_key (VARCHAR(63)), strategy (VARCHAR(20))	FK(entity_id) REFERENCES dd_entity_registry; CHECK (strategy IN ('RANGE','LIST','HASH'))	N/A
T-15	pari_dd	dd_view_registry	TABLE	Registry for SQL Views.	F-120	view_id (PK, UUID), view_name (VARCHAR(63)), definition_sql (TEXT), dependent_on (UUID[])	CHECK (definition_sql IS NOT NULL)	N/A
T-16	pari_dd	dd_stored_procedures	TABLE	Registry for Functions/Procedures.	F-121	proc_id (PK, UUID), proc_name (VARCHAR(63)), signature (TEXT), source_code (TEXT)	N/A	N/A
T-17	pari_dd	dd_retention_policies	TABLE	Data retention definitions.	F-122	policy_id (PK, UUID), entity_id (FK), retention_period_years (INTEGER), action_after_expiry (VARCHAR(20))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-18	pari_dd	dd_encryption_attributes	TABLE	Encryption metadata for columns.	F-124	enc_id (PK, UUID), attribute_id (FK), encryption_algo (VARCHAR(50)), key_id (VARCHAR(100))	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-19	pari_dd	dd_api_mappings	TABLE	Maps DB fields to REST API fields.	F-129	mapping_id (PK, UUID), attribute_id (FK), api_path (VARCHAR(255)), json_field (VARCHAR(100))	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-20	pari_dd	dd_constraints	TABLE	Registry of DB constraints.	F-130	constraint_id (PK, UUID), entity_id (FK), constraint_name (VARCHAR(63)), constraint_type (VARCHAR(20)), check_clause (TEXT)	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-21	pari_dd	dd_triggers	TABLE	Registry of DB triggers.	F-131	trigger_id (PK, UUID), entity_id (FK), trigger_name (VARCHAR(63)), timing (VARCHAR(10)), event (VARCHAR(20))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-22	pari_dd	dd_materialized_views	TABLE	Mat Views and refresh schedules.	F-132	mv_id (PK, UUID), mv_name (VARCHAR(63)), refresh_interval (INTERVAL), last_refresh (TIMESTAMPTZ)	N/A	N/A
T-23	pari_dd	dd_rls_policies	TABLE	Row Level Security policy definitions.	F-128	rls_id (PK, UUID), entity_id (FK), policy_name (VARCHAR(63)), using_clause (TEXT)	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-24	pari_dd	dd_dsar_mappings	TABLE	Data Subject Access Request mapping.	F-133	dsar_id (PK, UUID), user_id_attribute (FK), linked_attributes (UUID[])	FK(user_id_attribute) REFERENCES dd_attribute_registry	N/A
T-25	pari_dd	dd_taxonomy_nodes	TABLE	Hierarchical taxonomy for data classification.	F-141	node_id (PK, UUID), parent_id (UUID, NULLABLE), label (VARCHAR(100)), classification_level (VARCHAR(20))	Self-referencing FK; CHECK (classification_level IN ('Public','Internal','Confidential'))	N/A
T-26	pari_dd	dd_slas	TABLE	Service Level Agreements for data.	F-143	sla_id (PK, UUID), entity_id (FK), max_latency_ms (INTEGER), uptime_target (NUMERIC(5,2))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-27	pari_dd	dd_criticality_tiers	TABLE	Business criticality tiers.	F-142	tier_id (PK, UUID), entity_id (FK), tier_level (INTEGER), rpo_minutes (INTEGER), rto_minutes (INTEGER)	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-28	pari_dd	dd_reference_data	TABLE	Registry of lookup/enumeration tables.	F-116	ref_id (PK, UUID), table_name (VARCHAR(63)), category (VARCHAR(50)), description (TEXT)	N/A	N/A
T-29	pari_dd	dd_profiling_stats	TABLE	Data profiling results history.	F-150	stat_id (PK, UUID), attribute_id (FK), run_date (TIMESTAMPTZ), null_count (BIGINT), distinct_count (BIGINT), min_val (TEXT), max_val (TEXT)	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-30	pari_dd	dd_anchors	TABLE	Blockchain anchors for integrity.	F-208	anchor_id (PK, UUID), object_hash (CHAR(64)), tx_hash (VARCHAR(255)), anchored_at (TIMESTAMPTZ)	CHECK (object_hash IS NOT NULL)	N/A
T-31	pari_dd	dd_feedback	TABLE	User feedback on definitions.	F-203	feedback_id (PK, UUID), attribute_id (FK), user_id (VARCHAR(100)), comment (TEXT), created_at (TIMESTAMPTZ)	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-32	pari_dd	dd_deployments	TABLE	DDL deployment history.	F-109	deploy_id (PK, UUID), script_name (VARCHAR(255)), checksum (CHAR(32)), deployed_at (TIMESTAMPTZ), status (VARCHAR(20))	CHECK (status IN ('SUCCESS','FAILED','ROLLBACK'))	N/A
T-33	pari_dd	dd_custom_types	TABLE	Postgres custom types (Composite/Enum).	F-127	type_id (PK, UUID), type_name (VARCHAR(63)), type_category (VARCHAR(20)), definition (TEXT)	CHECK (type_category IN ('ENUM','COMPOSITE','RANGE'))	N/A
T-34	pari_dd	dd_enums	TABLE	Enum values for custom types.	F-127	enum_id (PK, UUID), type_id (FK), label (VARCHAR(100)), sort_order (INTEGER)	FK(type_id) REFERENCES dd_custom_types	N/A
T-35	pari_dd	dd_geo_metadata	TABLE	PostGIS column definitions.	F-157	geo_id (PK, UUID), attribute_id (FK), srid (INTEGER), geometry_type (VARCHAR(50))	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-36	pari_dd	dd_synonyms	TABLE	Synonyms for column/table names.	F-115	synonym_id (PK, UUID), object_id (UUID), synonym_name (VARCHAR(63)), scope (VARCHAR(20))	N/A	N/A
T-37	pari_dd	dd_deprecations	TABLE	Deprecation tracking.	F-192	deprecation_id (PK, UUID), object_id (UUID), sunset_date (DATE), replacement_object_id (UUID, NULLABLE)	N/A	N/A
T-38	pari_dd	dd_tags	TABLE	General purpose tagging system.	F-201	tag_id (PK, UUID), tag_name (VARCHAR(50)), tag_color (VARCHAR(7))	UNIQUE(tag_name)	dd_object_tags_map
T-39	pari_dd	dd_object_tags_map	TABLE	Maps tags to any dictionary object.	F-201	object_id (UUID), tag_id (FK)	Composite PK (object_id, tag_id)	N/A
T-40	pari_dd	dd_relationships	TABLE	Explicit business relationships (Foreign Keys).	F-130, F-205	rel_id (PK, UUID), parent_entity (UUID), child_entity (UUID), relationship_name (VARCHAR(100)), cardinality (VARCHAR(20))	CHECK (cardinality IN ('1:1','1:N','M:N'))	N/A
T-41	pari_dd	dd_data_lake_sync	TABLE	Sync status to data lake.	F-167	sync_id (PK, UUID), entity_id (FK), last_sync (TIMESTAMPTZ), row_count (BIGINT), status (VARCHAR(20))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-42	pari_dd	dd_sharding	TABLE	Sharding metadata.	F-206	shard_id (PK, UUID), entity_id (FK), shard_key (VARCHAR(63)), cluster_region (VARCHAR(50))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-43	pari_dd	dd_ml_features	TABLE	Attributes used as ML features.	F-191	feature_id (PK, UUID), attribute_id (FK), model_name (VARCHAR(100)), importance_score (NUMERIC)	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-44	pari_dd	dd_privacy_masks	TABLE	Dynamic masking rules.	F-186	mask_id (PK, UUID), attribute_id (FK), masking_function (VARCHAR(50)), role_exception (VARCHAR(100))	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
T-45	pari_dd	dd_access_stats	TABLE	Usage analytics for tables.	F-183	stat_id (PK, UUID), entity_id (FK), query_count (BIGINT), last_accessed (TIMESTAMPTZ), avg_latency_ms (INTEGER)	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-46	pari_dd	dd_subscriptions	TABLE	User subscriptions to changes.	F-175	sub_id (PK, UUID), user_email (VARCHAR(255)), entity_id (FK)	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-47	pari_dd	dd_approvals	TABLE	Workflow approval states.	F-176	approval_id (PK, UUID), change_request_id (UUID), approver (VARCHAR(100)), status (VARCHAR(20)), approved_at (TIMESTAMPTZ)	CHECK (status IN ('PENDING','APPROVED','REJECTED'))	N/A
T-48	pari_dd	dd_cost_centers	TABLE	Cost attribution.	F-184	cost_id (PK, UUID), entity_id (FK), cost_code (VARCHAR(50))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-49	pari_dd	dd_alerts	TABLE	Configuration for drift/quality alerts.	F-168	alert_id (PK, UUID), entity_id (FK), alert_type (VARCHAR(50)), threshold (NUMERIC), channel (VARCHAR(20))	FK(entity_id) REFERENCES dd_entity_registry	N/A
T-50	pari_dd	dd_backfill_status	TABLE	Tracks backfill operations.	F-166	backfill_id (PK, UUID), attribute_id (FK), start_date (TIMESTAMPTZ), end_date (TIMESTAMPTZ), rows_processed (BIGINT)	FK(attribute_id) REFERENCES dd_attribute_registry	N/A
 T-51 	 pari_dd 	 enum_change_operation 	 ENUM 	 Operations for change history. 	 F-110 	 VALUES ('INSERT', 'UPDATE', 'DELETE', 'ALTER') 	 N/A 	 N/A
 T-52 	 pari_dd 	 enum_data_type_category 	 ENUM 	 High level data types. 	 F-102 	 VALUES ('NUMERIC', 'STRING', 'TEMPORAL', 'BINARY', 'BOOLEAN') 	 N/A 	 N/A
 T-53 	 pari_dd 	 enum_regulatory_status 	 ENUM 	 Compliance status. 	 F-105 	 VALUES ('COMPLIANT', 'VIOLATION', 'PENDING_REVIEW') 	 N/A 	 N/A
 T-54 	 pari_dd 	 enum_pii_type 	 ENUM 	 Types of PII. 	 F-105 	 VALUES ('DIRECT', 'INDIRECT', 'HASHED', 'TOKENIZED') 	 N/A 	 N/A
 T-55 	 pari_dd 	 enum_lineage_type 	 ENUM 	 Types of data flow. 	 F-107 	 VALUES ('INGESTION', 'TRANSFORMATION', 'AGGREGATION', 'EXPORT') 	 N/A 	 N/A
 T-56 	 pari_dd 	 v_dd_full_schema_inventory 	 VIEW 	 Complete list of tables and attributes. 	 F-112 	 SELECT e.physical_name, a.physical_name, a.data_type FROM dd_entity_registry e JOIN dd_attribute_registry a ON e.entity_id = a.entity_id 	 N/A 	 N/A
 T-57 	 pari_dd 	 v_dd_pii_exposure_report 	 VIEW 	 Lists all PII columns and owners. 	 F-105 	 SELECT a.physical_name, e.business_owner FROM dd_attribute_registry a JOIN dd_entity_registry e ON a.entity_id = e.entity_id WHERE a.is_pii = TRUE 	 N/A 	 N/A
 T-58 	 pari_dd 	 v_dd_iso_compliance_status 	 VIEW 	 Shows ISO 20022 coverage. 	 F-104 	 SELECT e.physical_name, COUNT(m.attribute_id) as mapped_fields FROM dd_entity_registry e LEFT JOIN dd_iso_20022_mapping m ON ... GROUP BY e.physical_name 	 N/A 	 N/A
 T-59 	 pari_dd 	 v_dd_orphaned_tables 	 VIEW 	 Tables without owners. 	 F-149 	 SELECT physical_name FROM dd_entity_registry WHERE business_owner IS NULL 	 N/A 	 N/A
 T-60 	 pari_dd 	 v_dd_recent_changes 	 VIEW 	 Changes in last 24 hours. 	 F-110 	 SELECT * FROM dd_change_history WHERE changed_at > NOW() - INTERVAL '1 day' 	 N/A 	 N/A
 T-61 	 pari_dd 	 v_dd_data_quality_score 	 VIEW 	 Aggregates quality rule passes. 	 F-113 	 Complex aggregation of dd_profiling_stats. 	 N/A 	 N/A
 T-62 	 pari_dd 	 v_dd_criticality_heatmap 	 VIEW 	 Tables by criticality and size. 	 F-142 	 Joins dd_criticality_tiers with pg_class size stats. 	 N/A 	 N/A
 T-63 	 pari_dd 	 v_dd_lineage_graph 	 VIEW 	 Edge list for lineage visualization. 	 F-107 	 SELECT * FROM dd_lineage_edges 	 N/A 	 N/A
 T-64 	 pari_dd 	 v_dd_unmapped_glossary_terms 	 VIEW 	 Business terms not linked to technical fields. 	 F-103 	 SELECT t.term_name FROM dd_glossary_terms t LEFT JOIN dd_entity_glossary_map m ON t.term_id = m.term_id WHERE m.term_id IS NULL 	 N/A 	 N/A
 T-65 	 pari_dd 	 v_dd_retention_audit 	 VIEW 	 Tables exceeding retention policy. 	 F-122 	 Compares pg_class dates with dd_retention_policies. 	 N/A 	 N/A
 T-66 	 pari_dd 	 v_dd_index_usage_report 	 VIEW 	 Unused indexes. 	 F-118 	 Joins dd_indexes with pg_stat_user_indexes. 	 N/A 	 N/A
 T-67 	 pari_dd 	 v_dd_security_audit 	 VIEW 	 Columns lacking security tags. 	 F-105, F-116 	 Lists columns with is_pii=true but no entries in dd_attribute_tags_map. 	 N/A 	 N/A
 T-68 	 pari_dd 	 v_dd_kpi_data_sources 	 VIEW 	 Traces KPIs to source tables. 	 F-117 	 SELECT k.kpi_code, e.physical_name FROM dd_kpi_bindings k JOIN dd_attribute_registry a ON k.attribute_id = a.attribute_id JOIN dd_entity_registry e ON a.entity_id = e.entity_id 	 N/A 	 N/A
 T-69 	 pari_dd 	 v_dd_pending_approvals 	 VIEW 	 Change requests waiting. 	 F-176 	 SELECT * FROM dd_approvals WHERE status = 'PENDING' 	 N/A 	 N/A
 T-70 	 pari_dd 	 v_dd_schema_drift 	 VIEW 	 Compares registry to actual DB schema. 	 F-168, F-194 	 Uses information_schema comparison logic. 	 N/A 	 N/A
 T-71 	 pari_dd 	 v_dd_deprecated_fields 	 VIEW 	 Fields scheduled for removal. 	 F-192 	 SELECT a.physical_name, d.sunset_date FROM dd_attribute_registry a JOIN dd_deprecations d ON a.attribute_id = d.object_id 	 N/A 	 N/A
 T-72 	 pari_dd 	 v_dd_cost_summary 	 VIEW 	 Storage cost by department. 	 F-184 	 Aggregates pg_relation_size by dd_cost_centers. 	 N/A 	 N/A
 T-73 	 pari_dd 	 v_dd_access_frequency 	 VIEW 	 Hot vs Cold tables. 	 F-183 	 SELECT * FROM dd_access_stats ORDER BY query_count DESC 	 N/A 	 N/A
 T-74 	 pari_dd 	 v_dd_dsar_impact 	 VIEW 	 All data linked to a user ID concept. 	 F-133 	 Recursive CTE on dd_lineage_edges starting from user_id_attribute. 	 N/A 	 N/A
 T-75 	 pari_dd 	 v_dd_ml_feature_importance 	 VIEW 	 Top features for models. 	 F-191 	 SELECT * FROM dd_ml_features ORDER BY importance_score DESC 	 N/A 	 N/A
 T-76 	 pari_dd 	 sp_register_entity 	 PROCEDURE 	 Registers a new table. 	 F-101 	 IN p_name VARCHAR, IN p_schema VARCHAR 	 Inserts into dd_entity_registry and logs change. 	 N/A
 T-77 	 pari_dd 	 sp_register_attribute 	 PROCEDURE 	 Registers a new column. 	 F-102 	 IN p_entity_id UUID, IN p_name VARCHAR, ... 	 Inserts into dd_attribute_registry and checks PII classification. 	 N/A
 T-78 	 pari_dd 	 sp_update_glossary_link 	 PROCEDURE 	 Links attribute to term. 	 F-103 	 IN p_attr_id UUID, IN p_term_id UUID 	 Upserts into dd_entity_glossary_map. 	 N/A
 T-79 	 pari_dd 	 sp_propagate_change 	 PROCEDURE 	 Notifies downstream of schema change. 	 F-111 	 IN p_object_id UUID 	 Queries dd_lineage_edges to find targets and inserts alerts. 	 N/A
 T-80 	 pari_dd 	 sp_generate_ddl 	 FUNCTION 	 Generates CREATE TABLE script from metadata. 	 F-112 	 RETURNS TEXT 	 Constructs DDL string from dd_entity_registry and dd_attribute_registry. 	 N/A
 T-81 	 pari_dd 	 sp_validate_iso_mapping 	 PROCEDURE 	 Checks ISO 20022 map validity. 	 F-104 	 RETURNS TABLE(errors TEXT) 	 Checks if iso_xpath is syntactically valid. 	 N/A
 T-82 	 pari_dd 	 sp_classify_pii 	 PROCEDURE 	 Auto-classifies columns using NLP model. 	 F-105, F-191 	 IN p_attribute_id UUID 	 Calls external Python ML service via HTTP, updates is_pii flag. 	 N/A
 T-83 	 pari_dd 	 sp_record_lineage 	 PROCEDURE 	 Records a data flow edge. 	 F-107 	 IN p_src UUID, IN p_tgt UUID, IN p_type VARCHAR 	 Inserts into dd_lineage_edges. 	 N/A
 T-84 	 pari_dd 	 sp_audit_log_trigger 	 FUNCTION 	 Trigger function for history. 	 F-110 	 RETURNS TRIGGER 	 Writes old/new rows to dd_change_history. 	 N/A
 T-85 	 pari_dd 	 sp_impact_analysis 	 FUNCTION 	 Returns list of dependent objects. 	 F-111 	 IN p_object_id UUID, RETURNS TABLE(dep_object_id UUID) 	 Recursive query on dd_lineage_edges. 	 N/A
 T-86 	 pari_dd 	 sp_sync_schema_from_db 	 PROCEDURE 	 Refreshes dictionary from live information_schema. 	 F-194 	 Runs periodically via cron. 	 Compares and updates registry. 	 N/A
